@lat	@lon	name	tourism	historic	amenity
39.4749660	-6.3704126	Museo Santa Maria	museum		
41.1287901	-7.6335148	Vista sobre a ponte Romana	viewpoint		
41.1498835	-7.6433217		viewpoint		
41.1890516	-7.5429303	Ânima Durius	attraction		
42.1448542	-6.7158081		viewpoint		
40.4205333	-7.3462398		viewpoint		
39.2398747	-9.2652911		attraction		
37.8768419	-6.6684020	Peña de Arias Montano	viewpoint		
37.9035687	-6.6605256	Fuente de los 12 Caños	attraction		drinking_water
41.1004077	-6.7372375	Mirador del Reventón de La Barca	viewpoint		
38.9604928	-9.4190402		viewpoint		
41.3922651	-8.2013212	Escavanca	viewpoint		
41.3936334	-8.2050548	Escavanca	viewpoint		
41.1149877	-7.1980624	Miradouro de Santa Bárbara	viewpoint		
41.1260817	-7.2486179	Miradouro de São Martinho	viewpoint		
37.2583534	-6.9517959	Monumento a la Inmaculada Concepción		monument	
40.1109549	-8.1351222	Pena	attraction		
40.1085070	-8.1492630	Aigra Velha	attraction		
40.1202842	-8.1541232	Aigra Nova	attraction		
40.1271591	-8.1529645	Comareira	attraction		
41.5484737	-8.4257548	Museu Pio XII	museum		
41.4093024	-7.9598208	Museu Municipal de Mondim de Basto	museum		
39.5128728	-8.4805788	Sr. Jesus	viewpoint		
37.0841079	-8.2568065	Miradouro Rossio	viewpoint		
37.0849561	-8.2555622	Miradouro Rua Latino Coelho	viewpoint		
40.0431279	-7.0157907	Castelo de Penha Garcia		castle	
37.1569048	-7.5461578	Cacela Velha	viewpoint		
37.1573988	-7.5455614		viewpoint		
41.8252568	-7.7914062	Ecomuseu de Barroso - Espaço Padre Fontes	museum		
40.7633540	-8.4532308	Barragem da Talisca	viewpoint		
41.7509883	-8.1539395	Miradouro da Preguiça	viewpoint		
41.0850822	-8.0400692	Castelo de Oliveira do Douro		castle	
39.4258727	-8.9823626	Museu da Arte Sacra	museum		
41.7139260	-8.1766413	Miradouro do Mirante Velho	viewpoint		
40.2090946	-8.3772417		viewpoint		
